GT-B9120,Absolute
klimtlteatt,Galaxy TabS 8.4
klimtwifi,Galaxy TabS 8.4
klimtwifikx,Galaxy TabS 8.4
mondrianwifi,Galaxy Tap Pro 8.4
kyleve,Galaxy Trend
kyleve3gcmcc,Galaxy Trend
kylepluschn,Galaxy Trend Duos
kyleichn,Galaxy Trend Duos
kylevess,Galaxy Trend Lite
kylepro,Galaxy Trend Plus
garda3gcmcc,Galaxy Trend2
gardave3gcmcc,Galaxy Trend2
kyleplusctc,Galaxy Trend2
cs02ctc,Galaxy Trend3
cs02ve,Galaxy Trend3
cs02ve3g,Galaxy Trend3
cs02cmcc,Galaxy Trend3
SHW-M130L,Galaxy U
goghvmu,Galaxy Victory
goghspr,Galaxy Victory
GT-I8150,Galaxy W
GT-I8150T,Galaxy W
GT-I8150B,Galaxy W
SGH-T679M,Galaxy W
deloslteskt,Galaxy Win
delos3gss,Galaxy win
delos3geur,Galaxy Win
delosltelgt,Galaxy Win
delos3gduosctc,Galaxy Win
delos3gcmcc,Galaxy Win
delos3gchn,Galaxy Win Duos
wilcoxds,Galaxy Win Pro
wilcoxctc,Galaxy Win Pro
wilcox3g,Galaxy Win Pro
coreprimeltedtv,Galaxy Win2
GT-S5690R,Galaxy Xcover
GT-S5690M,Galaxy Xcover
GT-S5690L,Galaxy Xcover
GT-S5690,Galaxy Xcover
skomer,Galaxy Xcover2
GT-S5368,Galaxy Y
GT-S5360T,Galaxy Y
GT-S5369,Galaxy Y
SCH-i509,Galaxy Y
SCH-I509,Galaxy Y
GT-S5363,Galaxy Y
GT-S5360B,Galaxy Y
GT-S5360,Galaxy Y
GT-S5360L,Galaxy Y
GT-S6102B,Galaxy Y Duos
GT-S6102,Galaxy Y Duos
GT-S6102E,Galaxy Y Duos
coriplusds,Galaxy Y Plus
GT-S6108,Galaxy Y Pop
GT-B5510B,Galaxy Y Pro
GT-B5510L,Galaxy Y Pro
GT-B5510,Galaxy Y Pro
GT-B5512B,Galaxy Y Pro Duos
GT-B5512,Galaxy Y Pro Duos
GT-S5367,Galaxy Y TV
roydtv,Galaxy Young
royssdtv,Galaxy Young
roy,Galaxy Young
royssnfc,Galaxy Young
royss,Galaxy Young
young2nfc3g,Galaxy Young2
young23g,Galaxy Young2
young23gdtv,Galaxy Young2
young2ds2g,Galaxy Young2
gardalteMetroPCS,Garda
sprat,Gear Live
SCH-I100,Gem
ironcmcc,GT-B9388
GT-I5510M,GT-I5510M
GT-I5510T,GT-I5510T
GT-I5800L,GT-I5800L
aruba3gchn,GT-I8262D
superiorchn,GT-I9260
GT-N7000B,GT-N7000B
espressorfcmcc,GT-P3108
GT-P7300B,GT-P7300B
GT-P7320T,GT-P7320T
GT-P7500M,GT-P7500M
GT-P7500R,GT-P7500R
GT-P7500V,GT-P7500V
GT-S5698,GT-S5698
GT-S5820,GT-S5820
GT-S5830V,GT-S5830V
hennessy3gduosctc,Hennessy
spcwifi,Homesync
gokey,IceTouch
SCH-I110,Illusion
SGH-I997,Infuse
SGH-I997R,Infuse
sph-m900,Moment
SPH-M900,Moment
montblanc3gctc,Montblanc
ik1,Olleh
SPH-M580,Replenish
SPH-M580BST,Replenish
SCH-R680,Repp
royvedtv,Roy VE DTV
royssvedtv,Roy VE DTV
SGH-I847,Rugby Smart
jflteMetroPCS,Samsung Galaxy S4
mprojectltektt,Samsung Galaxy S4 Zoom
aegis2vzw,Samsung Galaxy Stratosphere2
gardaltetmo,Samsung Garda
spcwifiany,Samsung Homesync
SC-01F,SC-01F
SC-01G,SC-01G
SC-02G,SC-02G
SC-04F,SC-04F
SCH-I339,SCH-I339
SCH-I405U,SCH-I405U
godivaltevzw,SCH-I425
SCH-I519,SCH-I519
SCH-I559,SCH-I559
SCH-I659,SCH-I659
SCH-I699,SCH-I699
SCH-I779,SCH-I779
SCH-i809,SCH-i809
SCH-i919,SCH-i919
SCH-I919U,SCH-I919U
m0grandectc,SCH-W2013
SCH-W899,SCH-W899
SCH-W999,SCH-W999
SGH-I987,SGH-I987
amazingtrf,SGH-S730G
SHV-E150S,SHV-E150S
SHW-M115S,SHW-M115S
SHW-M135K,SHW-M135K
SHW-M135L,SHW-M135L
SHW-M340D,SHW-M340D
SHW-M340K,SHW-M340K
SHW-M460D,SHW-M460D
p4noterfskt,SHW-M480S
SGH-T839,Sidekick
htdlte,SM-N9007
lt03ltetmo,SM-P607T
q7lteskt,SM-T255S
stunnerltespr,SPH-L500
SCH-R730,Transfix
SPH-M920,Transform
SPH-M930,Transform Ultra
SPH-M930BST,Transform Ultra
SPH-M910,VinsQ
23129RAA4G,Redmi Note 13 4G
23124RA7EO,Redmi Note 13 4G NFC
23122PCD1G,POCO X6 5G
2311DRK48G,POCO X6 Pro
2312FPCA6G,POCO M6 Pro 4G
23117RA68G,Redmi Note 13 Pro 4G
23124RN87G,Redmi 13C 5G
23124RN87C,Redmi 13R
23113RKC6C,Redmi K70
2311DRK48C,Redmi K70E
23117RK66C,Redmi K70 Pro
2311FRAFDC,Redmi Note 13R Pro
23106RN0DA,Redmi 13C
23127PN0CC,Xiaomi 14
23116PN5BC,Xiaomi 14 Pro
23054RA19C,Redmi Note 12T Pro
2306EPN60G,Xiaomi 13T
23090RA98G,Redmi Note 13 Pro+
2312DRAABC,Redmi Note 13 5G
2312DRA50C,Redmi Note 13 Pro
23078RKD5C,Redmi K60 Ultra
23073RPBFG,Redmi Pad SE
23078PND5G,Xiaomi 13T Pro
2308CPXD0C,Xiaomi Mix Fold 3
2307BRPDCC,Xiaomi Pad 6 Max 14
23076PC4BI,POCO M6 Pro
23076RN8DY,Redmi 12 5G
23076RA4BC,Redmi Note 12R
23053RN02Y,Redmi 12
23046PNC9C,Xiaomi Civi 3
22111317I,Redmi Note 12R Pro
2304FPN6DG,Xiaomi 13 Ultra
23043RP34G,Xiaomi Pad 6
23046RP50C,Xiaomi Pad 6 Pro
23049PCD8G,POCO F5 5G
23049RAD8C,Redmi Note 12 Turbo
23021RAAEI,Redmi Note 12 4G
23021RAA2Y,Redmi Note 12 NFC 4G
2209116AG,Redmi Note 12 Pro 4G
2303CRA44A,Redmi Note 12S
23026RN54G,POCO C51
23026RN54G,Redmi A2
23026RN54G,Redmi A2+
22127PC95X,POCO C55
2210129SG,Xiaomi 13 Lite
2212ARNC4L,Redmi 12C
22101320G,POCO X5 Pro 5G
22101320G,Redmi Note 12 Pro Speed Edition
23013PC75G,POCO F5 Pro
23013RK75C,Redmi K60
22122RK93C,Redmi K60E
22127RK46C,Redmi K60 Pro
2211133C,Xiaomi 13
2210132C,Xiaomi 13 Pro
22111317G,POCO X5 5G
22101317C,Redmi Note 12
22101316UC,Redmi Note 12 Explorer (Discovery)
22101316C,Redmi Note 12 Pro
22101316UCP,Redmi Note 12 Pro+
22071212AG,Xiaomi 12T
22081212G,Xiaomi 12T Pro
22081283G,Xiaomi Redmi Pad
2209129SC,Xiaomi Civi 2
22095RA98C,Redmi Note 11R
22041219I,Redmi 11 Prime 5G
220733SPI,POCO C50
22071219CI,POCO M5
22071219AI,Redmi 11 Prime
220733SG,Redmi A1
220733SFG,Redmi A1+
2207117BPG,POCO M5s
22087RA4DI,Redmi Note 11 SE India
22081212C,Redmi K50 Ultra
22061218C,Xiaomi MIX FOLD 2
22081281AC,Xiaomi Pad 5 Pro 12.4
2207122MC,Xiaomi 12 Pro Dimensity Edition
2206123SC,Xiaomi 12S
2206122SC,Xiaomi 12S Pro
2203121C,Xiaomi 12S Ultra
22041216I,Redmi K50i
22041216UI,Redmi K50i Pro
22041216UG,POCO X4 GT Pro
22041216C,Redmi Note 11T Pro
22041216UC,Redmi Note 11T Pro+
